customer_id,company_name,industry,company_size,city,state,signup_date,plan_type,plan_price,trial_converted,trial_days,sales_rep
CUST00001,Company_1,IT Services,Medium,Lucknow,Uttar Pradesh,2022-01-03,Basic,999,No,21,Priya Patel
CUST00002,Company_2,Media,Medium,Delhi,Delhi,2022-10-17,Enterprise,7999,No,15,Priya Patel
CUST00003,Company_3,Finance,Small,Mumbai,Maharashtra,2022-11-02,Professional,2999,Yes,13,Priya Patel
CUST00004,Company_4,Media,Small,Indore,Madhya Pradesh,2023-08-25,Professional,2999,Yes,10,Rohit Kumar
CUST00005,Company_5,Consulting,Medium,Chennai,Tamil Nadu,2023-08-17,Basic,999,Yes,17,Priya Patel
CUST00006,Company_6,Finance,Medium,Hyderabad,Telangana,2023-11-07,Basic,999,No,12,Neha Gupta
CUST00007,Company_7,Media,Medium,Hyderabad,Telangana,2023-05-17,Basic,999,No,30,Sneha Joshi
CUST00008,Company_8,Manufacturing,Medium,Bangalore,Karnataka,2022-06-02,Enterprise,7999,Yes,21,Vikram Mehta
CUST00009,Company_9,Media,Medium,Indore,Madhya Pradesh,2023-04-03,Professional,2999,No,27,Neha Gupta
CUST00010,Company_10,Manufacturing,Large,Delhi,Delhi,2023-07-06,Professional,2999,Yes,15,Rohit Kumar
CUST00011,Company_11,Manufacturing,Large,Lucknow,Uttar Pradesh,2023-05-11,Basic,999,Yes,29,Anjali Shah
CUST00012,Company_12,Finance,Large,Indore,Madhya Pradesh,2022-12-20,Enterprise,7999,Yes,12,Anjali Shah
CUST00013,Company_13,Logistics,Enterprise,Patna,Bihar,2022-12-07,Enterprise,7999,Yes,7,Neha Gupta
CUST00014,Company_14,Retail,Small,Jaipur,Rajasthan,2023-07-20,Basic,999,Yes,30,Rahul Sharma
CUST00015,Company_15,Real Estate,Small,Delhi,Delhi,2023-07-11,Basic,999,Yes,17,Rahul Sharma
CUST00016,Company_16,Education,Small,Surat,Gujarat,2023-01-22,Basic,999,Yes,16,Rahul Sharma
CUST00017,Company_17,Retail,Medium,Pune,Maharashtra,2023-04-12,Basic,999,No,25,Amit Singh
CUST00018,Company_18,IT Services,Large,Mumbai,Maharashtra,2022-11-26,Professional,2999,Yes,28,Rahul Sharma
CUST00019,Company_19,Logistics,Small,Mumbai,Maharashtra,2022-07-13,Basic,999,Yes,13,Vikram Mehta
