customer_id,usage_month,dau,mau,stickiness,features_used,login_count,support_tickets,nps_score
CUST00003,2022-11,2,5,40,8,93,9,3
CUST00003,2022-12,3,8,37.5,13,174,4,6
CUST00003,2023-01,2,5,40,9,164,6,2
CUST00003,2023-01,2,11,18.18,4,112,1,1
CUST00003,2023-03,2,8,25,13,113,4,3
CUST00003,2023-04,1,6,16.67,13,120,4,10
CUST00003,2023-05,2,7,28.57,2,104,8,4
CUST00003,2023-05,3,12,25,7,131,4,10
CUST00003,2023-06,4,14,28.57,13,118,5,10
CUST00003,2023-07,2,7,28.57,7,33,0,9
CUST00003,2023-08,4,10,40,11,67,10,3
CUST00003,2023-09,4,12,33.33,11,144,1,5
CUST00003,2023-10,3,12,25,15,132,4,3
CUST00004,2023-08,6,15,40,14,73,8,7
CUST00004,2023-09,3,9,33.33,9,29,0,9
CUST00004,2023-10,2,6,33.33,7,34,7,10
CUST00004,2023-11,2,9,22.22,10,30,8,1
CUST00004,2023-12,2,6,33.33,8,55,2,7
CUST00004,2024-01,1,5,20,15,190,4,6
CUST00004,2024-02,5,14,35.71,13,181,7,10
CUST00005,2023-08,18,41,43.9,14,57,3,3
CUST00005,2023-09,9,25,36,10,76,10,2
CUST00005,2023-10,15,47,31.91,1,111,1,1
CUST00005,2023-11,10,30,33.33,8,187,6,10
CUST00005,2023-12,12,51,23.53,14,167,5,7
CUST00005,2024-01,7,39,17.95,3,13,3,2
CUST00005,2024-02,8,21,38.1,4,16,3,8
CUST00005,2024-03,10,29,34.48,7,170,8,4
CUST00005,2024-04,6,25,24,8,47,7,7
CUST00005,2024-05,4,21,19.05,15,49,7,8
CUST00005,2024-06,8,50,16,8,159,3,4
CUST00008,2022-06,22,56,39.29,7,23,5,1
CUST00008,2022-07,9,26,34.62,12,120,6,8
CUST00008,2022-08,19,57,33.33,9,84,0,8
CUST00008,2022-08,13,45,28.89,10,195,9,8
CUST00008,2022-09,12,34,35.29,9,14,6,10
CUST00008,2022-10,13,40,32.5,5,175,6,8
CUST00008,2022-11,8,27,29.63,11,98,7,7
CUST00008,2022-12,4,21,19.05,12,59,7,6
CUST00008,2023-01,11,48,22.92,4,160,10,6
CUST00008,2023-02,24,58,41.38,12,178,7,3
CUST00008,2023-03,14,38,36.84,7,116,10,6
CUST00008,2023-04,19,50,38,14,51,9,4
CUST00010,2023-07,52,138,37.68,11,133,2,3
CUST00010,2023-08,15,75,20,8,35,6,8
CUST00010,2023-09,19,88,21.59,9,22,0,6
CUST00010,2023-10,21,83,25.3,3,54,8,1
CUST00010,2023-11,15,58,25.86,2,168,3,2
CUST00010,2023-12,26,121,21.49,5,97,5,1
CUST00010,2024-01,61,148,41.22,5,48,8,10
CUST00010,2024-02,24,135,17.78,1,122,7,2
CUST00010,2024-03,24,63,38.1,10,36,8,1
CUST00010,2024-04,21,114,18.42,11,40,3,6
CUST00010,2024-05,26,70,37.14,12,123,8,8
CUST00010,2024-05,59,143,41.26,3,175,5,6
CUST00011,2023-05,26,65,40,8,116,0,4
CUST00011,2023-06,28,110,25.45,9,53,1,5
CUST00011,2023-07,35,97,36.08,7,102,10,4
CUST00011,2023-08,26,69,37.68,9,117,3,3
CUST00011,2023-09,28,104,26.92,7,127,8,6
